c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_market_name;c_name_color;c_price_updated;c_pop
57939542;0;463;6;18;Common;Standard;8;"100-Proof Jug";D2D2D2;1464311967;2108
57939542;673838471;2500;1;0;Common;Standard;8;"100-Proof Jug";D2D2D2;1464338306;152
57939545;0;115;6;8;Common;Standard;57;"Armor of the Radiant Crusader";D2D2D2;1464321991;1174
57939545;675001755;600;1;0;Common;Standard;57;"Armor of the Radiant Crusader";D2D2D2;1464351626;282
57939546;0;655;26;22;Uncommon;Standard;8;"Aspect Wraps of the High Plains";D2D2D2;1464320666;426
57939548;0;119;6;7;Uncommon;Standard;4;"Back Hook - Off-Hand";D2D2D2;1464313769;2866
57939549;0;169;8;2;Uncommon;Standard;4;"Back Hook";D2D2D2;1464350688;1337
57939550;0;130;12;58;Common;Standard;29;Back-Ache;D2D2D2;1464354867;1769
57939551;0;213;6;19;Common;Standard;53;"Beard of Cycles";D2D2D2;1464322293;808
57939552;0;1100;2;10;Uncommon;Standard;53;"Beard of the Peace-Bringer";D2D2D2;1464326795;70
57939553;0;399;8;11;Common;Standard;29;"Beast-Jaw Bludgeoner";D2D2D2;1464346858;581
57939554;0;2000;1;3;Common;Standard;2;"Berserker's Belt";D2D2D2;1464332417;86
57939555;0;250;5;10;Common;Standard;2;"Berserker's Helm";D2D2D2;1464326806;904
57939556;0;500;4;9;Common;Standard;2;"Berserker's Pauldron";D2D2D2;1464330836;172
57939557;0;1069;7;14;Uncommon;Standard;18;"Blade of the Dark Ancients";D2D2D2;1464317435;1482
57939558;0;299;18;30;Common;Standard;74;"Bracers of the Burning Cabal";D2D2D2;1464317793;789
57939558;632460003;1900;2;0;Common;Standard;74;"Bracers of the Burning Cabal";D2D2D2;1464333483;99
57939558;1502903368;2000;1;0;Common;Standard;74;"Bracers of the Burning Cabal";D2D2D2;1464332073;154
57939559;0;1299;15;13;Uncommon;Standard;8;"Bracers of the Ebony Tower";D2D2D2;1464351086;235
57939559;630667654;1899;4;0;Uncommon;Standard;8;"Bracers of the Ebony Tower";D2D2D2;1464342160;117
57939559;1629493392;1600;1;0;Uncommon;Standard;8;"Bracers of the Ebony Tower";D2D2D2;1464308174;184
57939559;1629497735;1800;1;0;Uncommon;Standard;8;"Bracers of the Ebony Tower";D2D2D2;1464308186;164
57939559;1629497737;1700;1;0;Uncommon;Standard;8;"Bracers of the Ebony Tower";D2D2D2;1464308183;174
57939560;0;140;9;8;Common;Standard;57;"Bracers of the Radiant Crusader";D2D2D2;1464320873;821
57939561;0;648;26;32;Mythical;Standard;53;"Call of the Dendrochron";D2D2D2;1464320324;1511
57939561;1724200820;690;1;0;Mythical;Standard;53;"Call of the Dendrochron";D2D2D2;1464346377;1000
